학제,학교명,학교상태,시도,설립, 학과수_전체 , 모집인원_계 , 지원자_전체_계 , 지원자_전체_남 , 지원자_전체_여 , 입학자_전체_계 , 입학자_전체_남 , 입학자_전체_여 , 재학생_전체_계 , 재학생_전체_남 , 재학생_전체_여 , 외국인유학생 학위과정_계 , 외국인유학생 학위과정_남 , 외국인유학생 학위과정_여 
 대학교 , 신라대학교 , 기존 , 부산 , 사립 , 173 ," 2,344 "," 13,324 "," 6,758 "," 6,566 "," 2,069 "," 1,089 ", 980 ," 8,921 "," 4,404 "," 4,517 ", 352 , 173 , 179 
 대학교 , 아세아연합신학대학교 , 기존 , 경기 , 사립 , 7 , 200 , 273 , 167 , 106 , 155 , 83 , 72 , 617 , 329 , 288 , 4 , 1 , 3 
 대학교 , 아주대학교 , 기존 , 경기 , 사립 , 40 ," 2,199 "," 30,318 "," 18,523 "," 11,795 "," 2,179 "," 1,343 ", 836 ," 9,548 "," 5,707 "," 3,841 ", 312 , 121 , 191 
 대학교 , 안양대학교 , 기존 , 경기 , 사립 , 62 ," 1,146 "," 8,587 "," 4,187 "," 4,400 "," 1,071 ", 492 , 579 ," 4,484 "," 2,057 "," 2,427 ", 8 , 3 , 5 
 대학교 , 연세대학교 , 기존 , 서울 , 사립 , 106 ," 4,054 "," 50,464 "," 28,010 "," 22,454 "," 4,042 "," 2,082 "," 1,960 "," 18,924 "," 9,904 "," 9,020 "," 1,279 ", 291 , 988 
 대학교 , 용인대학교 , 기존 , 경기 , 사립 , 53 ," 1,740 "," 14,713 "," 8,011 "," 6,702 "," 1,654 ", 968 , 686 ," 6,240 "," 3,378 "," 2,862 ", 318 , 280 , 38 
 대학교 , 을지대학교 , 기존 , 경기 , 사립 , 36 , 948 ," 11,930 "," 4,341 "," 7,589 ", 934 , 307 , 627 ," 3,934 "," 1,220 "," 2,714 ", 12 , 2 , 10 
 대학교 , 이화여자대학교 , 기존 , 서울 , 사립 , 129 ," 3,379 "," 30,191 ", - ," 30,191 "," 3,367 ", - ," 3,367 "," 15,698 ", - ," 15,698 ", 975 , - , 975 
 대학교 , 인제대학교 , 기존 , 부산 , 사립 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
 대학교 , 장로회신학대학교 , 기존 , 서울 , 사립 , 3 , 163 , 535 , 252 , 283 , 157 , 75 , 82 , 648 , 330 , 318 , 6 , 4 , 2 
 대학교 , 조선대학교 , 기존 , 광주 , 사립 , 122 ," 4,840 "," 25,039 "," 13,629 "," 11,410 "," 4,744 "," 2,530 "," 2,214 "," 19,469 "," 10,216 "," 9,253 ", 413 , 230 , 183 
 대학교 , 중앙대학교 서울캠퍼스 , 기존 , 서울 , 사립 , 65 ," 3,982 "," 81,757 "," 43,409 "," 38,348 "," 3,940 "," 1,984 "," 1,956 "," 18,747 "," 9,191 "," 9,556 "," 1,815 ", 609 ," 1,206 "
 대학교 , 중앙대학교 안성캠퍼스 , 기존 , 경기 , 사립 , 52 ," 1,290 "," 10,990 "," 4,700 "," 6,290 "," 1,277 ", 541 , 736 ," 5,017 "," 2,114 "," 2,903 ", 473 , 177 , 296 
 대학교 , 중앙승가대학교 , 기존 , 경기 , 사립 , 6 , 130 , 57 , 42 , 15 , 39 , 26 , 13 , 147 , 95 , 52 , 9 , 8 , 1 
 대학교 , 총신대학교 , 기존 , 서울 , 사립 , 12 , 375 ," 1,864 ", 782 ," 1,082 ", 363 , 159 , 204 ," 1,693 ", 688 ," 1,005 ", 8 , 2 , 6 
 대학교 , 추계예술대학교 , 기존 , 서울 , 사립 , 11 , 289 ," 3,383 ", 976 ," 2,407 ", 277 , 73 , 204 ," 1,111 ", 288 , 823 , 1 , - , 1 
 대학교 , 칼빈대학교 , 기존 , 경기 , 사립 , 9 , 140 , 323 , 211 , 112 , 115 , 78 , 37 , 578 , 344 , 234 , 226 , 133 , 93 
 대학교 , 평택대학교 , 기존 , 경기 , 사립 , 54 , 908 ," 11,392 "," 6,265 "," 5,127 ", 959 , 529 , 430 ," 3,854 "," 2,059 "," 1,795 ", 406 , 191 , 215 
